SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
The Office,uno,,Pilot,2005-03-24
,1,2,Diversity Day,2005-03-29
The Office,-1,3,Health Care,2005-04-05
The Office,1,,The Alliance,2005-04-12
The Office,1,4,The Alliance,2005-04-12
Stranger Things,1,1,The Vanishing of Will Byers,Unknown
Stranger Things,1,1,The Vanishing of Will Byers,2016-07-15
Breaking Bad,2,1,,2009-03-08
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
The Bear,1,,,
The Mandalorian,1,1,Chapter 1,2022-40-99
THE OFFICE  ,1,1,Pilot,2005-03-24
the office,1,1,pilot ,Unknown
Friends,one,1,The One Where Monica Gets a Roommate,1994-09-22
Friends,1,1,The One Where Monica Gets a Roommate,1994-09-22
Dark,--1,1,Secrets,0000-00-00
Dark,1,1,Secrets,2017-12-01
